Customer Name,Email,Last Order Date,Total Order Value,Last 3 Items Ordered,
Ashley Christensen,udit.jain+MIStest@solarsales.in,13/06/25,185484,"Watermelon Syrup, Lemon Juice, Soda Base",
Rebecca Lopez,udit.jain+MIStest@solarsales.in,14/04/25,75491,"Orange Crush, Blueberry Syrup, Green Apple Syrup",
Eric Hughes,udit.jain+MIStest@solarsales.in,13/05/25,84692,"Mint Mojito, Orange Crush, Kiwi Crush",
Ryan Estrada,udit.jain+MIStest@solarsales.in,29/03/25,202929,"Green Apple Syrup, Mango Crush, Orange Crush",
Tanya Carter,udit.jain+MIStest@solarsales.in,18/01/25,221999,"Lime Juice, Soda Base, Choco Sauce",
Samuel Vasquez,udit.jain+MIStest@solarsales.in,20/03/25,217261,"Lime Juice, Orange Crush, Vanilla Frappe",
Amy Chen,udit.jain+MIStest@solarsales.in,28/01/25,239632,"Soda Base, Choco Sauce, Mint Mojito",
Monica Mcintyre,udit.jain+MIStest@solarsales.in,28/04/25,107694,"Choco Sauce, Green Apple Syrup, Watermelon Syrup",
Christina Ryan,udit.jain+MIStest@solarsales.in,05-03-25,206324,"Blueberry Syrup, Watermelon Syrup, Green Apple Syrup",
Melinda Gould,udit.jain+MIStest@solarsales.in,26/01/25,162507,"Blueberry Syrup, Orange Crush, Kiwi Crush",
Gregg Coleman,udit.jain+MIStest@solarsales.in,23/05/25,50685,"Choco Sauce, Kiwi Crush, Soda Base",
Michael Fletcher,udit.jain+MIStest@solarsales.in,28/02/25,195142,"Soda Base, Kiwi Crush, Vanilla Frappe",
Robert Nguyen,udit.jain+MIStest@solarsales.in,15/04/25,196626,"Strawberry Crush, Kiwi Crush, Lime Juice",
Jacob Smith,udit.jain+MIStest@solarsales.in,05-06-25,50160,"Soda Base, Cola Base, Green Apple Syrup",
Crystal Cunningham,udit.jain+MIStest@solarsales.in,28/02/25,224265,"Choco Sauce, Watermelon Syrup, Lemon Juice",
Richard Davis DDS,udit.jain+MIStest@solarsales.in,29/03/25,112814,"Chocolate Frappe, Vanilla Frappe, Orange Crush",
Michael Cohen,udit.jain+MIStest@solarsales.in,16/05/25,104884,"Orange Crush, Lemon Juice, Lime Juice",
Jason Stanley,udit.jain+MIStest@solarsales.in,28/01/25,126767,"Lemon Juice, Soda Base, Choco Sauce",
Alexander Williams,udit.jain+MIStest@solarsales.in,24/04/25,92626,"Watermelon Syrup, Strawberry Crush, Mint Mojito",
Robin Jones,udit.jain+MIStest@solarsales.in,03-04-25,90802,"Lemon Juice, Cola Base, Choco Sauce",
Angela Perez,udit.jain+MIStest@solarsales.in,16/05/25,172638,"Chocolate Frappe, Orange Crush, Watermelon Syrup",
Chloe Miller,udit.jain+MIStest@solarsales.in,31/05/25,165847,"Mango Crush, Blueberry Syrup, Vanilla Frappe",
Terri Nelson,udit.jain+MIStest@solarsales.in,07-03-25,229248,"Chocolate Frappe, Mango Crush, Choco Sauce",
Adam Hunt,udit.jain+MIStest@solarsales.in,18/03/25,126409,"Lime Juice, Green Apple Syrup, Orange Crush",
Christopher Kim,udit.jain+MIStest@solarsales.in,28/05/25,203606,"Watermelon Syrup, Kiwi Crush, Vanilla Frappe",
Angela Townsend,udit.jain+MIStest@solarsales.in,15/03/25,127445,"Mango Crush, Watermelon Syrup, Cola Base",
Jon Acevedo,udit.jain+MIStest@solarsales.in,27/05/25,187018,"Chocolate Frappe, Blueberry Syrup, Vanilla Frappe",
Matthew Williams,udit.jain+MIStest@solarsales.in,29/01/25,214231,"Green Apple Syrup, Strawberry Crush, Orange Crush",
Jose Jensen,udit.jain+MIStest@solarsales.in,29/03/25,155234,"Lemon Juice, Mango Crush, Choco Sauce",
Cindy Freeman,udit.jain+MIStest@solarsales.in,18/04/25,227926,"Strawberry Crush, Green Apple Syrup, Mint Mojito",
Natalie Richardson,udit.jain+MIStest@solarsales.in,18/05/25,150367,"Mango Crush, Green Apple Syrup, Watermelon Syrup",
Stephanie Patterson,udit.jain+MIStest@solarsales.in,01-02-25,74011,"Green Apple Syrup, Blueberry Syrup, Lemon Juice",
Scott Walters,udit.jain+MIStest@solarsales.in,15/06/25,73301,"Cola Base, Lime Juice, Lemon Juice",
Victoria Mooney,udit.jain+MIStest@solarsales.in,02-05-25,224204,"Strawberry Crush, Kiwi Crush, Chocolate Frappe",
Diane Peck,udit.jain+MIStest@solarsales.in,28/04/25,138755,"Kiwi Crush, Watermelon Syrup, Mint Mojito",
Wendy Martinez,udit.jain+MIStest@solarsales.in,14/02/25,78142,"Vanilla Frappe, Watermelon Syrup, Orange Crush",
Amanda Hammond,udit.jain+MIStest@solarsales.in,24/01/25,204391,"Choco Sauce, Soda Base, Kiwi Crush",
Lisa Ortiz,udit.jain+MIStest@solarsales.in,08-06-25,174769,"Watermelon Syrup, Chocolate Frappe, Mint Mojito",
Sydney Tucker,udit.jain+MIStest@solarsales.in,29/04/25,200141,"Choco Sauce, Chocolate Frappe, Strawberry Crush",
Amy Green,udit.jain+MIStest@solarsales.in,01-06-25,196360,"Mint Mojito, Blueberry Syrup, Mango Crush",
Matthew Henderson,udit.jain+MIStest@solarsales.in,11-06-25,89441,"Choco Sauce, Strawberry Crush, Chocolate Frappe",
Anthony Li,udit.jain+MIStest@solarsales.in,09-02-25,66764,"Lime Juice, Lemon Juice, Soda Base",
Jillian Lindsey,udit.jain+MIStest@solarsales.in,26/02/25,151701,"Mango Crush, Chocolate Frappe, Green Apple Syrup",
Eric Owens,udit.jain+MIStest@solarsales.in,18/04/25,176995,"Lemon Juice, Lime Juice, Blueberry Syrup",
Victoria Thompson,udit.jain+MIStest@solarsales.in,22/03/25,149305,"Choco Sauce, Lemon Juice, Strawberry Crush",
Joshua Vasquez,udit.jain+MIStest@solarsales.in,11-05-25,55556,"Choco Sauce, Mango Crush, Cola Base",
Justin Montgomery,udit.jain+MIStest@solarsales.in,20/01/25,99572,"Blueberry Syrup, Lemon Juice, Lime Juice",
Jerry Johnson,udit.jain+MIStest@solarsales.in,26/01/25,151654,"Lemon Juice, Chocolate Frappe, Vanilla Frappe",
Jillian Proctor,udit.jain+MIStest@solarsales.in,08-04-25,69621,"Strawberry Crush, Mint Mojito, Soda Base",
Tony Levine,udit.jain+MIStest@solarsales.in,18/05/25,95044,"Vanilla Frappe, Chocolate Frappe, Cola Base",
Christine Murphy,udit.jain+MIStest@solarsales.in,02-06-25,115102,"Vanilla Frappe, Soda Base, Lemon Juice",
Walter Garner,udit.jain+MIStest@solarsales.in,24/03/25,226054,"Mint Mojito, Lemon Juice, Watermelon Syrup",
Laura Dunn,udit.jain+MIStest@solarsales.in,14/04/25,245174,"Mango Crush, Soda Base, Green Apple Syrup",
Brian Morgan,udit.jain+MIStest@solarsales.in,08-02-25,171378,"Strawberry Crush, Cola Base, Kiwi Crush",
Tanya Ward,udit.jain+MIStest@solarsales.in,14/05/25,211363,"Soda Base, Mint Mojito, Kiwi Crush",
Bruce Strong,udit.jain+MIStest@solarsales.in,02-05-25,221923,"Watermelon Syrup, Choco Sauce, Mint Mojito",
Kathy Jensen,udit.jain+MIStest@solarsales.in,21/05/25,170839,"Cola Base, Choco Sauce, Watermelon Syrup",
Ryan Brown,udit.jain+MIStest@solarsales.in,10-06-25,194280,"Mango Crush, Strawberry Crush, Chocolate Frappe",
Jason White,udit.jain+MIStest@solarsales.in,26/05/25,223920,"Kiwi Crush, Vanilla Frappe, Strawberry Crush",
Alexandra Macdonald,udit.jain+MIStest@solarsales.in,12-02-25,158268,"Soda Base, Vanilla Frappe, Cola Base",
Danielle Lawrence,udit.jain+MIStest@solarsales.in,15/04/25,191966,"Choco Sauce, Watermelon Syrup, Orange Crush",
Tasha Johnson,udit.jain+MIStest@solarsales.in,10-04-25,112869,"Lime Juice, Mint Mojito, Blueberry Syrup",
Robert Anderson,udit.jain+MIStest@solarsales.in,27/01/25,85705,"Kiwi Crush, Blueberry Syrup, Choco Sauce",
Christopher Richard,udit.jain+MIStest@solarsales.in,07-06-25,104366,"Cola Base, Choco Sauce, Green Apple Syrup",
Parker Ball PhD,udit.jain+MIStest@solarsales.in,09-03-25,89965,"Strawberry Crush, Blueberry Syrup, Vanilla Frappe",
Beth Snyder,udit.jain+MIStest@solarsales.in,25/05/25,126252,"Strawberry Crush, Watermelon Syrup, Lime Juice",
Michael Henry,udit.jain+MIStest@solarsales.in,15/02/25,174337,"Mint Mojito, Cola Base, Lime Juice",
Mr. Jordan Owens MD,udit.jain+MIStest@solarsales.in,05-04-25,115602,"Mango Crush, Cola Base, Soda Base",
Anna Hayes,udit.jain+MIStest@solarsales.in,12-06-25,176324,"Watermelon Syrup, Green Apple Syrup, Cola Base",
Dana Dodson,udit.jain+MIStest@solarsales.in,06-06-25,88516,"Green Apple Syrup, Watermelon Syrup, Lemon Juice",
Sarah Barnett,udit.jain+MIStest@solarsales.in,09-04-25,79114,"Lemon Juice, Orange Crush, Soda Base",
Scott Mcdonald,udit.jain+MIStest@solarsales.in,24/01/25,161727,"Choco Sauce, Lemon Juice, Watermelon Syrup",
Bianca Noble,udit.jain+MIStest@solarsales.in,30/01/25,105931,"Blueberry Syrup, Mango Crush, Kiwi Crush",
Anthony Waller,udit.jain+MIStest@solarsales.in,25/03/25,54313,"Soda Base, Strawberry Crush, Cola Base",
Joshua Smith,udit.jain+MIStest@solarsales.in,24/01/25,162718,"Blueberry Syrup, Kiwi Crush, Orange Crush",
John Moore,udit.jain+MIStest@solarsales.in,14/02/25,131245,"Lemon Juice, Mango Crush, Watermelon Syrup",
Janet Ross,udit.jain+MIStest@solarsales.in,24/03/25,170699,"Mint Mojito, Kiwi Crush, Watermelon Syrup",
Lisa Garner,udit.jain+MIStest@solarsales.in,12-02-25,150559,"Chocolate Frappe, Orange Crush, Lemon Juice",
Amy Hernandez,udit.jain+MIStest@solarsales.in,21/01/25,234626,"Blueberry Syrup, Lemon Juice, Mint Mojito",
Mr. Joseph Sparks DDS,udit.jain+MIStest@solarsales.in,08-05-25,68192,"Cola Base, Kiwi Crush, Orange Crush",
Shannon Allen,udit.jain+MIStest@solarsales.in,23/01/25,91266,"Lime Juice, Strawberry Crush, Green Apple Syrup",
Fernando Hays,udit.jain+MIStest@solarsales.in,28/03/25,183155,"Choco Sauce, Vanilla Frappe, Lemon Juice",
Mary Cox,udit.jain+MIStest@solarsales.in,04-04-25,154791,"Mango Crush, Choco Sauce, Lemon Juice",
Jessica Boyer,udit.jain+MIStest@solarsales.in,11-05-25,94041,"Mint Mojito, Strawberry Crush, Watermelon Syrup",
Laurie Bauer,udit.jain+MIStest@solarsales.in,09-05-25,187871,"Orange Crush, Green Apple Syrup, Blueberry Syrup",
Kyle Martin,udit.jain+MIStest@solarsales.in,19/02/25,211112,"Green Apple Syrup, Lime Juice, Mint Mojito",
Kristy Parker,udit.jain+MIStest@solarsales.in,17/01/25,193878,"Watermelon Syrup, Lime Juice, Green Apple Syrup",
Mark Robinson,udit.jain+MIStest@solarsales.in,23/01/25,201420,"Vanilla Frappe, Choco Sauce, Blueberry Syrup",
Kelly Evans,udit.jain+MIStest@solarsales.in,19/04/25,119682,"Cola Base, Lemon Juice, Choco Sauce",
William Smith,udit.jain+MIStest@solarsales.in,14/06/25,130915,"Mint Mojito, Green Apple Syrup, Watermelon Syrup",
Jason Rogers,udit.jain+MIStest@solarsales.in,05-02-25,181541,"Choco Sauce, Mint Mojito, Orange Crush",
Kenneth Rodriguez,udit.jain+MIStest@solarsales.in,17/01/25,91980,"Mint Mojito, Choco Sauce, Mango Crush",
Brenda Lee,udit.jain+MIStest@solarsales.in,26/03/25,60783,"Green Apple Syrup, Lemon Juice, Soda Base",
Courtney Briggs,udit.jain+MIStest@solarsales.in,01-04-25,62051,"Blueberry Syrup, Lime Juice, Soda Base",
Jennifer Adams,udit.jain+MIStest@solarsales.in,16/02/25,139371,"Strawberry Crush, Lime Juice, Orange Crush",
Stephen Miller,udit.jain+MIStest@solarsales.in,22/04/25,52927,"Strawberry Crush, Green Apple Syrup, Choco Sauce",
Charles Matthews,udit.jain+MIStest@solarsales.in,05-05-25,115668,"Kiwi Crush, Watermelon Syrup, Cola Base",
Jimmy Goodwin,udit.jain+MIStest@solarsales.in,25/03/25,155034,"Orange Crush, Green Apple Syrup, Chocolate Frappe",
Linda Ortiz,udit.jain+MIStest@solarsales.in,23/01/25,140415,"Chocolate Frappe, Mint Mojito, Green Apple Syrup",
Mark Arnold,udit.jain+MIStest@solarsales.in,13/05/25,55089,"Chocolate Frappe, Vanilla Frappe, Mint Mojito",
Kristin Barrett,udit.jain+MIStest@solarsales.in,06-02-25,234196,"Mint Mojito, Lemon Juice, Lime Juice",
Andrew House,udit.jain+MIStest@solarsales.in,01-05-25,238584,"Lemon Juice, Watermelon Syrup, Soda Base",
Stephanie Patterson,udit.jain+MIStest@solarsales.in,23/02/25,186555,"Cola Base, Mint Mojito, Watermelon Syrup",
Kristen Day,udit.jain+MIStest@solarsales.in,25/03/25,53457,"Orange Crush, Chocolate Frappe, Kiwi Crush",
Howard Mendoza Jr.,udit.jain+MIStest@solarsales.in,06-05-25,227208,"Green Apple Syrup, Chocolate Frappe, Orange Crush",
Morgan Cisneros,udit.jain+MIStest@solarsales.in,22/01/25,242373,"Cola Base, Lemon Juice, Mint Mojito",
Christopher Barnes,udit.jain+MIStest@solarsales.in,04-04-25,115597,"Blueberry Syrup, Chocolate Frappe, Kiwi Crush",
Elizabeth Bush,udit.jain+MIStest@solarsales.in,09-02-25,194303,"Cola Base, Soda Base, Lime Juice",
Caroline Austin,udit.jain+MIStest@solarsales.in,04-05-25,87031,"Chocolate Frappe, Green Apple Syrup, Choco Sauce",
Megan Davis,udit.jain+MIStest@solarsales.in,29/01/25,120521,"Lime Juice, Cola Base, Orange Crush",
Linda Thomas,udit.jain+MIStest@solarsales.in,13/06/25,226701,"Lime Juice, Watermelon Syrup, Lemon Juice",
Patricia Velez,udit.jain+MIStest@solarsales.in,07-04-25,68906,"Mango Crush, Lime Juice, Green Apple Syrup",
Johnny Higgins,udit.jain+MIStest@solarsales.in,29/05/25,77983,"Vanilla Frappe, Mint Mojito, Lime Juice",
Gregory Gentry,udit.jain+MIStest@solarsales.in,10-03-25,104983,"Orange Crush, Strawberry Crush, Choco Sauce",
Tammy Johnson,udit.jain+MIStest@solarsales.in,11-02-25,112605,"Soda Base, Chocolate Frappe, Orange Crush",
Angela Harrell,udit.jain+MIStest@solarsales.in,01-06-25,77686,"Vanilla Frappe, Choco Sauce, Strawberry Crush",
Christopher Jones,udit.jain+MIStest@solarsales.in,11-05-25,167499,"Kiwi Crush, Chocolate Frappe, Cola Base",
Michael Marshall,udit.jain+MIStest@solarsales.in,23/01/25,107688,"Vanilla Frappe, Chocolate Frappe, Mango Crush",
Linda Browning,udit.jain+MIStest@solarsales.in,15/04/25,85664,"Orange Crush, Lemon Juice, Mint Mojito",
Carla Harris,udit.jain+MIStest@solarsales.in,06-04-25,249352,"Orange Crush, Cola Base, Lime Juice",
Thomas Ferguson,udit.jain+MIStest@solarsales.in,18/01/25,116195,"Orange Crush, Mint Mojito, Cola Base",
Douglas Duke,udit.jain+MIStest@solarsales.in,01-03-25,71251,"Lime Juice, Blueberry Syrup, Mint Mojito",
Derek Fischer,udit.jain+MIStest@solarsales.in,11-05-25,243282,"Blueberry Syrup, Chocolate Frappe, Kiwi Crush",
Thomas Lopez,udit.jain+MIStest@solarsales.in,29/04/25,197490,"Green Apple Syrup, Cola Base, Strawberry Crush",
Carolyn Wiley,udit.jain+MIStest@solarsales.in,25/04/25,200588,"Blueberry Syrup, Orange Crush, Mango Crush",
Paul White,udit.jain+MIStest@solarsales.in,27/04/25,200101,"Mint Mojito, Lemon Juice, Blueberry Syrup",
Heather Stout,udit.jain+MIStest@solarsales.in,28/02/25,114690,"Blueberry Syrup, Strawberry Crush, Vanilla Frappe",
Denise Perkins,udit.jain+MIStest@solarsales.in,30/01/25,231437,"Cola Base, Lime Juice, Watermelon Syrup",
Michael Matthews,udit.jain+MIStest@solarsales.in,17/04/25,172565,"Kiwi Crush, Mint Mojito, Green Apple Syrup",
Alexandra Young,udit.jain+MIStest@solarsales.in,29/04/25,228734,"Watermelon Syrup, Lime Juice, Choco Sauce",
Mary King,udit.jain+MIStest@solarsales.in,24/05/25,182709,"Cola Base, Kiwi Crush, Mint Mojito",
Danny White,udit.jain+MIStest@solarsales.in,01-06-25,65218,"Soda Base, Blueberry Syrup, Mint Mojito",
Robert Davis,udit.jain+MIStest@solarsales.in,11-05-25,67482,"Choco Sauce, Orange Crush, Cola Base",
